DateTime;10.0-18.0;4.0-14.0;5.0-18.0;5.0-8.0
2020-01-01 00:00:00;2.85418987475e-11;4.83658992417e-11;3.96885804191e-11;2.09513808648e-11
2020-01-01 00:15:00;2.86454550742e-11;4.82123321597e-11;3.9676219242e-11;2.0416793192e-11
2020-01-01 00:30:00;3.00915428884e-11;5.04371678506e-11;4.24153440746e-11;2.21107348907e-11
2020-01-01 00:45:00;2.92270250289e-11;4.88836383169e-11;4.0836379889e-11;2.14036974777e-11
2020-01-01 01:00:00;2.69901239545e-11;4.53860849219e-11;3.74374036563e-11;1.957511527e-11
2020-01-01 01:15:00;2.47202267775e-11;4.19809443719e-11;3.49539236508e-11;1.86031361008e-11
2020-01-01 01:30:00;2.41488479306e-11;4.05384782493e-11;3.41365322166e-11;1.82131658839e-11
2020-01-01 01:45:00;2.35948309368e-11;3.96543908905e-11;3.33292879265e-11;1.80410088184e-11
2020-01-01 02:00:00;2.22323885261e-11;3.90400635882e-11;3.22788241434e-11;1.78371727315e-11
2020-01-01 02:15:00;2.17547107661e-11;3.73695453996e-11;3.10738933351e-11;1.720504327e-11
2020-01-01 02:30:00;2.05230255663e-11;3.41725781428e-11;2.8764261279e-11;1.59924052639e-11
2020-01-01 02:45:00;2.02301892042e-11;4.74556987289e-11;3.65155876073e-11;2.67043992054e-11
2020-01-01 03:00:00;1.92434600037e-11;4.71811768521e-11;3.55924452819e-11;2.63871780219e-11
2020-01-01 03:15:00;1.89680920942e-11;3.2949736076e-11;2.71609148948e-11;1.58175719359e-11
2020-01-01 03:30:00;1.98530253141e-11;3.32037348593e-11;2.78275666979e-11;1.58452486715e-11
2020-01-01 03:45:00;1.92418076824e-11;3.36034548254e-11;2.75520444944e-11;1.61163329136e-11
2020-01-01 04:00:00;1.9623581152e-11;3.42729440078e-11;2.82393406776e-11;1.68607735448e-11
2020-01-01 04:15:00;1.9712682189e-11;3.4189871507e-11;2.82576827796e-11;1.68233485592e-11
2020-01-01 04:30:00;1.95046925046e-11;3.39828372654e-11;2.79791730627e-11;1.65019067835e-11
2020-01-01 04:45:00;1.8878573095e-11;3.39367355136e-11;2.75717577837e-11;1.65572638714e-11
2020-01-01 05:00:00;1.86425512864e-11;3.30902914976e-11;2.71070441287e-11;1.62243202508e-11
2020-01-01 05:15:00;1.79915248167e-11;3.17311540565e-11;2.61008612912e-11;1.54849801806e-11
2020-01-01 05:30:00;1.6826619944e-11;3.0913715559e-11;2.50216305095e-11;1.55024143756e-11
2020-01-01 05:45:00;1.6414239979e-11;3.08686078228e-11;2.47461118736e-11;1.56227544395e-11
2020-01-01 06:00:00;1.6631859682e-11;3.03057414307e-11;2.46497708236e-11;1.53226164223e-11
2020-01-01 06:15:00;1.74167266712e-11;3.12130472324e-11;2.55907953745e-11;1.54179193522e-11
2020-01-01 06:30:00;1.69324066818e-11;3.13534465828e-11;2.544857661e-11;1.56052325693e-11
2020-01-01 06:45:00;1.55521112401e-11;2.87012938254e-11;2.36581070718e-11;1.49144577055e-11
2020-01-01 07:00:00;1.46376405654e-11;2.72361313998e-11;2.22049157146e-11;1.39187791487e-11
2020-01-01 07:15:00;1.42171871693e-11;2.7142565949e-11;2.16769821528e-11;1.36534592815e-11
2020-01-01 07:30:00;1.46900730998e-11;2.72341275012e-11;2.20423610568e-11;1.3618154988e-11
2020-01-01 07:45:00;1.52534468965e-11;2.78187565911e-11;2.2733781469e-11;1.39188029926e-11
2020-01-01 08:00:00;1.54951434871e-11;2.9481018797e-11;2.35040811219e-11;1.46125927138e-11
2020-01-01 08:15:00;1.80877758538e-11;3.35000940145e-11;2.75668599663e-11;1.7252593695e-11
2020-01-01 08:30:00;1.90050512701e-11;3.49465205269e-11;2.91720431332e-11;1.79198134152e-11
2020-01-01 08:45:00;1.83195356647e-11;3.36355830096e-11;2.74263648006e-11;1.61527711505e-11
2020-01-01 09:00:00;1.99458238425e-11;3.55269235912e-11;2.9225137473e-11;1.66703529853e-11
2020-01-01 09:15:00;2.20472064408e-11;3.74026922184e-11;3.12192537014e-11;1.6705773446e-11
2020-01-01 09:30:00;2.35331014654e-11;3.87964955797e-11;3.27694691611e-11;1.70558313594e-11
2020-01-01 09:45:00;2.45707674512e-11;4.02534335607e-11;3.42916316555e-11;1.77429800017e-11
2020-01-01 10:00:00;2.68714304385e-11;4.40059736806e-11;3.79436088239e-11;1.94535882693e-11
2020-01-01 10:15:00;2.62534863486e-11;4.33735625001e-11;3.71284646775e-11;1.92573605687e-11
2020-01-01 10:30:00;2.49729268991e-11;4.26273119956e-11;3.54874114676e-11;1.90921524323e-11
2020-01-01 10:45:00;2.46927757902e-11;4.31737902686e-11;3.57399409767e-11;1.99217166947e-11
2020-01-01 11:00:00;2.47482502396e-11;4.28196629376e-11;3.57073515648e-11;1.97891288769e-11
2020-01-01 11:15:00;2.68990754773e-11;4.56363791544e-11;3.83860811456e-11;2.06584500735e-11
2020-01-01 11:30:00;2.69072851952e-11;4.60378178639e-11;3.86044653966e-11;2.1068887504e-11
2020-01-01 11:45:00;2.56171707207e-11;4.36016070612e-11;3.62107614962e-11;1.96859564628e-11
2020-01-01 12:00:00;2.66507483715e-11;4.66512614684e-11;3.86804272046e-11;2.23343353865e-11
2020-01-01 12:15:00;2.7715669498e-11;5.19372683089e-11;4.28769769037e-11;2.69376358851e-11
2020-01-01 12:30:00;2.82122815815e-11;5.4679236459e-11;4.35042505412e-11;2.74810266843e-11
2020-01-01 12:45:00;2.79100741485e-11;5.50817881001e-11;4.21049811605e-11;2.59369521642e-11
2020-01-01 13:00:00;2.81305741898e-11;5.28870920623e-11;4.16060404755e-11;2.49139247338e-11
2020-01-01 13:15:00;2.89229480843e-11;5.13738915179e-11;4.21054555954e-11;2.45375526279e-11
2020-01-01 13:30:00;2.8435693544e-11;5.02583507898e-11;4.16507986418e-11;2.44841808997e-11
2020-01-01 13:45:00;2.87312131719e-11;4.96889599886e-11;4.11017498742e-11;2.32592881411e-11
2020-01-01 14:00:00;2.85812018187e-11;4.87197163507e-11;4.04974841409e-11;2.21223696331e-11
2020-01-01 14:15:00;2.81088415017e-11;4.80432800536e-11;4.01049175529e-11;2.21487725749e-11
2020-01-01 14:30:00;2.79964633201e-11;4.75918545583e-11;3.96213692787e-11;2.12092137624e-11
2020-01-01 14:45:00;2.81192555653e-11;4.76544025781e-11;3.97586259648e-11;2.12004165939e-11
2020-01-01 15:00:00;4.00654718652e-11;6.02973930817e-11;5.42771684588e-11;2.92292130228e-11
2020-01-01 15:15:00;4.45515207023e-11;6.84294696777e-11;6.24961550181e-11;3.50047898675e-11
2020-01-01 15:30:00;3.1138720098e-11;5.13704309511e-11;4.3994531395e-11;2.33316075014e-11
2020-01-01 15:45:00;2.92748361269e-11;4.82237209886e-11;4.08484450964e-11;2.1734845394e-11
2020-01-01 16:00:00;3.09824046738e-11;5.21449315916e-11;4.44503430247e-11;2.53698529671e-11
2020-01-01 16:15:00;3.26857402339e-11;5.55472384366e-11;4.80839706921e-11;2.83446723309e-11
2020-01-01 16:30:00;3.07855015446e-11;5.2832412408e-11;4.46184308704e-11;2.49159965139e-11
2020-01-01 16:45:00;2.79122233687e-11;5.01984667682e-11;4.12044691186e-11;2.38457855358e-11
2020-01-01 17:00:00;2.87805492143e-11;5.32781561955e-11;4.4350745491e-11;2.71512799146e-11
2020-01-01 17:15:00;2.70841515354e-11;5.12669350121e-11;4.13178918069e-11;2.48707636859e-11
2020-01-01 17:30:00;2.8232397533e-11;5.15700587706e-11;4.19031389343e-11;2.46355289946e-11
2020-01-01 17:45:00;3.32613146021e-11;6.37096871497e-11;5.43179836226e-11;3.65999269802e-11
2020-01-01 18:00:00;3.16539287951e-11;5.97561597069e-11;5.09799277325e-11;3.34489762789e-11
2020-01-01 18:15:00;3.21516263226e-11;5.34978833232e-11;4.57178399301e-11;2.49809861133e-11
2020-01-01 18:30:00;3.23014393661e-11;5.34478929493e-11;4.55413283847e-11;2.43773446105e-11
2020-01-01 18:45:00;3.09408214119e-11;5.36868596514e-11;4.53186439961e-11;2.43615489863e-11
2020-01-01 19:00:00;3.23107256668e-11;5.84201447418e-11;4.9734600176e-11;3.0116477103e-11
2020-01-01 19:15:00;3.16241595712e-11;5.85819490136e-11;4.89540360103e-11;3.08220151163e-11
2020-01-01 19:30:00;3.02012544628e-11;5.44744125521e-11;4.34755415703e-11;2.47366709775e-11
2020-01-01 19:45:00;3.20366993436e-11;5.79963863469e-11;4.81337316163e-11;2.88058661621e-11
2020-01-01 20:00:00;3.2733258236e-11;5.67594123779e-11;4.81222520602e-11;2.74611992996e-11
2020-01-01 20:15:00;3.12040721942e-11;5.2411318335e-11;4.37256508819e-11;2.30316646606e-11
2020-01-01 20:30:00;3.02133305132e-11;5.13557508586e-11;4.21511389747e-11;2.25093394014e-11
2020-01-01 20:45:00;3.30038875113e-11;5.3854457229e-11;4.55820242781e-11;2.32911430306e-11
2020-01-01 21:00:00;3.15181510063e-11;5.16969853323e-11;4.38643641713e-11;2.29477433275e-11
2020-01-01 21:15:00;2.9434435515e-11;4.92095663906e-11;4.10695427751e-11;2.18973802863e-11
2020-01-01 21:30:00;2.88936451662e-11;4.82100047941e-11;4.01323807657e-11;2.09998924673e-11
2020-01-01 21:45:00;3.04546242351e-11;4.97053739741e-11;4.19531141195e-11;2.19624930423e-11
2020-01-01 22:00:00;2.97035149928e-11;5.22417072716e-11;4.15967562693e-11;2.29387829132e-11
2020-01-01 22:15:00;2.80625713465e-11;5.2025035202e-11;4.07949577943e-11;2.38322624122e-11
2020-01-01 22:30:00;2.782996127e-11;4.92358346018e-11;4.02488468014e-11;2.33801149877e-11
2020-01-01 22:45:00;2.68387991482e-11;4.74348758285e-11;3.87472299099e-11;2.23108549409e-11
2020-01-01 23:00:00;2.55560166776e-11;4.90492781891e-11;3.90185435777e-11;2.42855646134e-11
2020-01-01 23:15:00;2.54079072022e-11;4.99634214504e-11;3.93977669039e-11;2.51052663944e-11
2020-01-02 00:00:00;2.38264587538e-11;4.36620119456e-11;3.48602372515e-11;2.03932170135e-11
2020-01-02 00:15:00;2.31049102592e-11;4.32030332199e-11;3.43620231619e-11;2.03669658446e-11
2020-01-02 00:30:00;2.18145541973e-11;4.13454997963e-11;3.27569365207e-11;1.97141694279e-11
2020-01-02 00:45:00;2.09488757191e-11;3.97065489079e-11;3.19409098563e-11;1.95091729376e-11
2020-01-02 01:00:00;2.0790673321e-11;3.99855562995e-11;3.16037650304e-11;1.94099486864e-11
2020-01-02 01:15:00;2.05764096608e-11;3.98020662961e-11;3.11044803318e-11;1.89810882967e-11
2020-01-02 01:30:00;1.97585409215e-11;3.83921278496e-11;3.0456786432e-11;1.90075840225e-11
2020-01-02 01:45:00;1.87503040971e-11;3.65914089525e-11;2.92082192734e-11;1.83664987569e-11
2020-01-02 02:00:00;1.75607128968e-11;3.52233900555e-11;2.75621182114e-11;1.7700245552e-11
2020-01-02 02:15:00;1.70472544843e-11;3.48390683664e-11;2.70583414175e-11;1.77224157608e-11
2020-01-02 02:30:00;1.71432182644e-11;3.43350917947e-11;2.69704829566e-11;1.75403284108e-11
2020-01-02 02:45:00;1.63352084956e-11;3.20346958352e-11;2.56266120974e-11;1.65084661453e-11
2020-01-02 03:00:00;1.60541645219e-11;3.02229163356e-11;2.47156405048e-11;1.54671246578e-11
2020-01-02 03:15:00;1.61755094879e-11;2.95354557584e-11;2.42258571144e-11;1.47995847279e-11
2020-01-02 03:30:00;1.45482683543e-11;2.88361277626e-11;2.25945463546e-11;1.46459303359e-11
2020-01-02 03:45:00;1.37025384797e-11;2.8025662153e-11;2.19387396967e-11;1.48035897352e-11
2020-01-02 04:00:00;1.32262784609e-11;2.81860698909e-11;2.1687223046e-11;1.47476775204e-11
2020-01-02 04:15:00;1.2066766052e-11;2.82604699414e-11;2.11455035517e-11;1.4825233358e-11
2020-01-02 04:30:00;1.25010630706e-11;2.98480418647e-11;2.23235593415e-11;1.60316331659e-11
2020-01-02 04:45:00;1.32423245806e-11;3.11430297788e-11;2.33625992598e-11;1.64919664607e-11
2020-01-02 05:00:00;1.40041241732e-11;3.09715995017e-11;2.38053349005e-11;1.6269196645e-11
2020-01-02 05:15:00;1.40821948633e-11;3.06985490295e-11;2.36204683693e-11;1.61677104886e-11
2020-01-02 05:30:00;1.42755237117e-11;3.16501148815e-11;2.40232166618e-11;1.63732960142e-11
2020-01-02 05:45:00;1.47786480151e-11;3.18477832479e-11;2.44239193953e-11;1.63756268536e-11
2020-01-02 06:00:00;1.46092351813e-11;3.16531785126e-11;2.40808852615e-11;1.61855185181e-11
2020-01-02 06:15:00;1.58690151154e-11;3.2617254461e-11;2.51450331735e-11;1.60387038558e-11
2020-01-02 06:30:00;1.50989157313e-11;3.24415928311e-11;2.43206211759e-11;1.58972518795e-11
2020-01-02 06:45:00;1.53533172674e-11;3.24652353968e-11;2.44676520575e-11;1.58451207942e-11
2020-01-02 07:00:00;1.89145240942e-11;3.9761351981e-11;3.16541208274e-11;2.06314618108e-11
2020-01-02 07:15:00;2.12388062952e-11;4.40013272628e-11;3.54938400805e-11;2.27832221404e-11
2020-01-02 07:30:00;2.09883729599e-11;4.31780791395e-11;3.41631484533e-11;2.15433893207e-11
2020-01-02 07:45:00;2.09581023722e-11;4.24163076155e-11;3.27172980928e-11;2.0379926786e-11
2020-01-02 08:00:00;2.33343806248e-11;4.661779147e-11;3.51291730915e-11;2.10478551337e-11
2020-01-02 08:15:00;2.83694423076e-11;5.30840231766e-11;4.13019550567e-11;2.3294112138e-11
2020-01-02 08:30:00;3.34728288979e-11;5.89693845e-11;4.73912608194e-11;2.56834701043e-11
2020-01-02 08:45:00;3.70426050372e-11;6.56656908808e-11;5.21698614852e-11;2.79361320272e-11
2020-01-02 09:00:00;4.12894425446e-11;7.40912082102e-11;6.04927677086e-11;3.55758455646e-11
2020-01-02 09:15:00;4.48182626788e-11;8.31568546082e-11;6.7004504311e-11;4.0379961465e-11
2020-01-02 09:30:00;4.51760498207e-11;8.28133501431e-11;6.56606219682e-11;3.66504763904e-11
2020-01-02 09:45:00;4.57770384807e-11;8.10630501771e-11;6.47182767157e-11;3.37013528505e-11
2020-01-02 10:00:00;4.78442085077e-11;8.43826818148e-11;6.76221438335e-11;3.59940998988e-11
2020-01-02 10:15:00;4.90963339602e-11;8.9101278638e-11;7.0074358691e-11;3.76615053011e-11
2020-01-02 10:30:00;4.74173345683e-11;8.85024440677e-11;6.8127507547e-11;3.75575168304e-11
2020-01-02 10:45:00;4.68314615276e-11;8.99107503929e-11;6.74785469445e-11;3.77881281101e-11
2020-01-02 11:00:00;4.7509007325e-11;9.1267493093e-11;6.82693386608e-11;3.87722338855e-11
2020-01-02 11:15:00;4.76075006629e-11;9.04914404524e-11;6.85226335055e-11;3.93321067116e-11
2020-01-02 11:30:00;4.6301011808e-11;9.17007934468e-11;6.73852660692e-11;3.9094610279e-11
2020-01-02 11:45:00;4.70239605222e-11;9.30805203125e-11;6.9164175563e-11;4.05371468587e-11
2020-01-02 12:00:00;4.70458330209e-11;9.33076535452e-11;6.92563216238e-11;4.09794367934e-11
2020-01-02 12:15:00;4.74902657749e-11;9.26402609022e-11;6.8286192007e-11;3.9175206575e-11
2020-01-02 12:30:00;4.93192335801e-11;9.74592666336e-11;7.20984342139e-11;4.13365181926e-11
2020-01-02 12:45:00;4.98254058002e-11;9.77528599229e-11;7.35056965541e-11;4.23830657909e-11
2020-01-02 13:00:00;4.94463003086e-11;9.86309892069e-11;7.39625089464e-11;4.41024718819e-11
2020-01-02 13:15:00;5.10827322377e-11;1.0438986195e-10;7.82501101314e-11;4.7795247923e-11
2020-01-02 13:30:00;5.00561607258e-11;1.02930233911e-10;7.58978201841e-11;4.57717651239e-11
2020-01-02 13:45:00;4.8303371431e-11;9.75339321956e-11;7.15548640648e-11;4.17152033946e-11
2020-01-02 14:00:00;4.75319044851e-11;9.24947298358e-11;6.93054183878e-11;3.93913368689e-11
2020-01-02 14:15:00;4.55660931507e-11;8.70119187413e-11;6.59236768894e-11;3.75363568729e-11
2020-01-02 14:30:00;4.60821786656e-11;8.71408687418e-11;6.70861831615e-11;3.79320974386e-11
2020-01-02 14:45:00;4.52012188546e-11;8.60143046409e-11;6.60631893941e-11;3.7716153546e-11
2020-01-02 15:00:00;4.59558590893e-11;8.7457856128e-11;6.7567868983e-11;3.90215856641e-11
