DateTime;10.0-30.0;10.0-40.0;4.0-40.0;4.0-8.0
2020-01-01 00:00:00;1.51585890397e-11;1.52243106238e-11;4.88581448229e-11;4.46008607945e-11
2020-01-01 00:15:00;1.56596157502e-11;1.5724825276e-11;4.82520406559e-11;4.38032347772e-11
2020-01-01 00:30:00;1.6754086955e-11;1.68119763965e-11;5.05952344289e-11;4.58330760257e-11
2020-01-01 00:45:00;1.5948645571e-11;1.60066670969e-11;4.84431766388e-11;4.39249765612e-11
2020-01-01 01:00:00;1.42770842561e-11;1.43341706332e-11;4.47682284278e-11;4.06802804989e-11
2020-01-01 01:15:00;1.31850709628e-11;1.32441063343e-11;4.15370813852e-11;3.77509530224e-11
2020-01-01 01:30:00;1.28832843709e-11;1.29468690621e-11;4.08756237485e-11;3.72309069293e-11
2020-01-01 01:45:00;1.2744162908e-11;1.28075306623e-11;4.01804103243e-11;3.65959912492e-11
2020-01-01 02:00:00;1.25397062521e-11;1.2633784961e-11;3.94271167492e-11;3.58073627818e-11
2020-01-01 02:15:00;1.24320526278e-11;1.25226696477e-11;3.79055788996e-11;3.43759692479e-11
2020-01-01 02:30:00;1.12983480572e-11;1.13717759356e-11;3.56350206785e-11;3.26044982364e-11
2020-01-01 02:45:00;1.09118310031e-11;1.10408420056e-11;3.63932401095e-11;3.35974833659e-11
2020-01-01 03:00:00;1.06550639013e-11;1.07926871038e-11;3.52677331996e-11;3.2522455888e-11
2020-01-01 03:15:00;1.14392903029e-11;1.15321304691e-11;3.4048413255e-11;3.09987304965e-11
2020-01-01 03:30:00;1.19877953335e-11;1.20718442604e-11;3.43715648114e-11;3.11536794378e-11
2020-01-01 03:45:00;1.13771396867e-11;1.14542709408e-11;3.49805815739e-11;3.20507278648e-11
2020-01-01 04:00:00;1.17771030323e-11;1.1848550664e-11;3.660317431e-11;3.37012290199e-11
2020-01-01 04:15:00;1.21407918679e-11;1.22085849322e-11;3.68498136649e-11;3.38515421715e-11
2020-01-01 04:30:00;1.21450158647e-11;1.22180037386e-11;3.71573434988e-11;3.41611275243e-11
2020-01-01 04:45:00;1.15673961743e-11;1.16687984129e-11;3.6720473324e-11;3.38615927763e-11
